dataset,n_feats,snr,N,round,method,train_time,adj_r2,rmse,mae
feats10_snr10_N100000,10,10,100000,0,LR,0.023414700059220195,0.8674269542528378,1.275189205758495,1.007532089033673
feats10_snr10_N100000,10,10,100000,1,LR,0.014743599924258888,0.8683195398750951,1.2732234760744483,1.0087842676602155
feats10_snr10_N100000,10,10,100000,2,LR,0.020094400038942695,0.8667973478216991,1.2747063785685828,1.0105935641811563
feats10_snr10_N100000,10,10,100000,3,LR,0.01699709997046739,0.8679220361759453,1.2717901732952839,1.0031311380847963
feats10_snr10_N100000,10,10,100000,4,LR,0.019356400007382035,0.8678343919845688,1.2745420119548514,1.0067914097901782
feats10_snr10_N100000,10,10,100000,5,LR,0.014741600025445223,0.8672603372001592,1.276778986166309,1.0106985818238838
feats10_snr10_N100000,10,10,100000,6,LR,0.01993670000229031,0.867592477766264,1.2755551081306935,1.0083592912912527
feats10_snr10_N100000,10,10,100000,7,LR,0.014970000018365681,0.8672728977893671,1.2712624390651752,1.0048853733959366
feats10_snr10_N100000,10,10,100000,8,LR,0.018384599941782653,0.867234121740153,1.2724988161171116,1.0062174646677808
feats10_snr10_N100000,10,10,100000,9,LR,0.01575999998021871,0.8679306241905913,1.272354068364315,1.00724961811012
feats10_snr10_N10000,10,10,10000,0,LR,0.0022635000059381127,0.8292121840461831,1.002848585094684,0.7868131225144295
feats10_snr10_N10000,10,10,10000,1,LR,0.001615599961951375,0.8290596890556517,1.0110854262307165,0.7909464848273303
feats10_snr10_N10000,10,10,10000,2,LR,0.0013801000313833356,0.8236564126194938,1.0176780346213168,0.7965391604139205
feats10_snr10_N10000,10,10,10000,3,LR,0.0011845999397337437,0.8257624946910536,1.0085956237349223,0.791941454119807
feats10_snr10_N10000,10,10,10000,4,LR,0.0021608000388368964,0.8250426628768076,1.0087318894744015,0.7861725477569084
feats10_snr10_N10000,10,10,10000,5,LR,0.0023173000663518906,0.8309528109706722,1.0061117589308375,0.7853963066506545
feats10_snr10_N10000,10,10,10000,6,LR,0.001856899936683476,0.8299219161835746,1.0141506452034763,0.7939406374022084
feats10_snr10_N10000,10,10,10000,7,LR,0.001117600011639297,0.8242616919705228,1.011413571023027,0.7926656867350612
feats10_snr10_N10000,10,10,10000,8,LR,0.0019152999157086015,0.8267598242281686,1.006568635045815,0.7889529852533
feats10_snr10_N10000,10,10,10000,9,LR,0.0016407000366598368,0.8193305960860544,1.02947642795253,0.8016602674107338
feats10_snr10_N500000,10,10,500000,0,LR,0.0934774000197649,0.8568938224502956,1.199326775043382,0.9451751295340144
feats10_snr10_N500000,10,10,500000,1,LR,0.07237429998349398,0.8578759583231639,1.1954534280356426,0.9423641361433602
feats10_snr10_N500000,10,10,500000,2,LR,0.10667030001059175,0.857815078486273,1.1972899273283624,0.9440279088588347
feats10_snr10_N500000,10,10,500000,3,LR,0.10533980000764132,0.857824626905996,1.1967766405718134,0.9428712714110914
feats10_snr10_N500000,10,10,500000,4,LR,0.08742610004264861,0.8572304767947903,1.197601764680699,0.943882943663368
feats10_snr10_N500000,10,10,500000,5,LR,0.07696380000561476,0.857428096227732,1.1984654570728088,0.9443367627341333
feats10_snr10_N500000,10,10,500000,6,LR,0.08415489993058145,0.8577512905528892,1.1957566501691237,0.9432367008206176
feats10_snr10_N500000,10,10,500000,7,LR,0.07779649994336069,0.8581392836658109,1.1963634735691056,0.9437822680273296
feats10_snr10_N500000,10,10,500000,8,LR,0.07643839996308088,0.8577799197713254,1.1965176582282668,0.9439006909607396
feats10_snr10_N500000,10,10,500000,9,LR,0.08235209994018078,0.8578354002797715,1.1968293689726286,0.943781893100408
