dataset,n_feats,snr,N,round,method,train_time,adj_r2,rmse,mae,best_params
feats10_snr10_N100000,10,10,100000,0,MLP_halving,28.32811850006692,0.9070630880534102,1.0676800548864955,0.8511410965732319,"{'activation': 'relu', 'alpha': 0.0001, 'batch_size': 128, 'hidden_layer_sizes': (64, 32), 'learning_rate_init': 0.001}"
feats10_snr10_N100000,10,10,100000,1,MLP_halving,40.105448200018145,0.9053545920700926,1.07942815994311,0.8607221645821256,"{'activation': 'relu', 'alpha': 0.0001, 'batch_size': 64, 'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.001}"
feats10_snr10_N100000,10,10,100000,2,MLP_halving,35.25295410002582,0.9059090160019211,1.0713410063067463,0.8557340289992047,"{'activation': 'relu', 'alpha': 0.001, 'batch_size': 128, 'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.001}"
feats10_snr10_N100000,10,10,100000,3,MLP_halving,37.43957699998282,0.9059392518349576,1.0732588959507487,0.8557425003390586,"{'activation': 'relu', 'alpha': 0.001, 'batch_size': 128, 'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.001}"
feats10_snr10_N100000,10,10,100000,4,MLP_halving,40.49785500008147,0.9060789883178224,1.0744255003536591,0.856663874341587,"{'activation': 'relu', 'alpha': 0.0001, 'batch_size': 128, 'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.001}"
feats10_snr10_N100000,10,10,100000,5,MLP_halving,30.345821700058877,0.9053994783955306,1.077859457473626,0.8607554894617613,"{'activation': 'relu', 'alpha': 0.001, 'batch_size': 128, 'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.001}"
feats10_snr10_N100000,10,10,100000,6,MLP_halving,31.4223860000493,0.906482323193213,1.0719875751178252,0.8541539073214756,"{'activation': 'tanh', 'alpha': 0.0001, 'batch_size': 128, 'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.001}"
feats10_snr10_N100000,10,10,100000,7,MLP_halving,28.37439359992277,0.9057597958717145,1.0712072865695847,0.8532241403513411,"{'activation': 'relu', 'alpha': 0.0001, 'batch_size': 128, 'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.001}"
feats10_snr10_N100000,10,10,100000,8,MLP_halving,45.21368349995464,0.9063924756328903,1.0684877081468713,0.8524713258985778,"{'activation': 'tanh', 'alpha': 0.001, 'batch_size': 128, 'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.001}"
feats10_snr10_N100000,10,10,100000,9,MLP_halving,38.895473600015976,0.9064409136714593,1.0709024352278222,0.8543832287928579,"{'activation': 'tanh', 'alpha': 0.001, 'batch_size': 64, 'hidden_layer_sizes': (32, 32), 'learning_rate_init': 0.001}"
feats10_snr10_N10000,10,10,10000,0,MLP_halving,7.934582299902104,0.8945534914582063,0.7879942090198588,0.6258050681178086,"{'activation': 'relu', 'alpha': 0.001, 'batch_size': 128, 'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.001}"
feats10_snr10_N10000,10,10,10000,1,MLP_halving,6.293216000078246,0.8995959125292887,0.7748922233055574,0.6157849161431642,"{'activation': 'relu', 'alpha': 0.001, 'batch_size': 64, 'hidden_layer_sizes': (64, 32), 'learning_rate_init': 0.001}"
feats10_snr10_N10000,10,10,10000,2,MLP_halving,7.709467999986373,0.8984062258050898,0.7724388568592372,0.6178415948897964,"{'activation': 'relu', 'alpha': 0.0001, 'batch_size': 64, 'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.001}"
feats10_snr10_N10000,10,10,10000,3,MLP_halving,5.925808499916457,0.8958266318054705,0.7798743028252653,0.6218086312677517,"{'activation': 'relu', 'alpha': 0.0001, 'batch_size': 64, 'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.001}"
feats10_snr10_N10000,10,10,10000,4,MLP_halving,5.78557309997268,0.8931095604499983,0.7884589767083086,0.6286497821911796,"{'activation': 'relu', 'alpha': 0.0001, 'batch_size': 64, 'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.001}"
feats10_snr10_N10000,10,10,10000,5,MLP_halving,6.2997376000275835,0.8997673752935376,0.7747236244541555,0.6181003567464415,"{'activation': 'relu', 'alpha': 0.0001, 'batch_size': 128, 'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.001}"
feats10_snr10_N10000,10,10,10000,6,MLP_halving,4.342847099993378,0.9008072361234264,0.774494414237662,0.6198256342073418,"{'activation': 'relu', 'alpha': 0.001, 'batch_size': 128, 'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.01}"
feats10_snr10_N10000,10,10,10000,7,MLP_halving,7.4801050999667495,0.8940757687073246,0.7852233700541221,0.6266928172628293,"{'activation': 'relu', 'alpha': 0.0001, 'batch_size': 64, 'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.001}"
feats10_snr10_N10000,10,10,10000,8,MLP_halving,5.645312700071372,0.899363479934015,0.7671793262803298,0.6107090055264933,"{'activation': 'relu', 'alpha': 0.001, 'batch_size': 128, 'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.001}"
feats10_snr10_N10000,10,10,10000,9,MLP_halving,6.792903200024739,0.8958098541054582,0.7817851634230574,0.6240426043535062,"{'activation': 'relu', 'alpha': 0.001, 'batch_size': 128, 'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.001}"
feats10_snr10_N500000,10,10,500000,0,MLP_halving,129.10668000008445,0.9080889785491018,0.9611521349639759,0.7669265484938917,"{'activation': 'tanh', 'alpha': 0.001, 'batch_size': 128, 'hidden_layer_sizes': (32, 32), 'learning_rate_init': 0.001}"
