dataset,n_feats,snr,N,round,method,train_time,adj_r2,rmse,mae,best_params
feats10_snr10_N100000,10,10,100000,0,MLP_random,26.583523500012234,0.9079834211649818,1.0623804055036308,0.846058833541997,"{'learning_rate_init': 0.001, 'hidden_layer_sizes': (32, 32), 'batch_size': 128, 'alpha': 0.001, 'activation': 'tanh'}"
feats10_snr10_N100000,10,10,100000,1,MLP_random,28.032237800071016,0.9069347215577954,1.0703795681179649,0.8533123008457187,"{'learning_rate_init': 0.001, 'hidden_layer_sizes': (64, 32), 'batch_size': 128, 'alpha': 0.001, 'activation': 'tanh'}"
feats10_snr10_N100000,10,10,100000,2,MLP_random,25.240157699910924,0.9067317038197996,1.0666470695524073,0.8517123333758511,"{'learning_rate_init': 0.001, 'hidden_layer_sizes': (32, 32), 'batch_size': 64, 'alpha': 0.001, 'activation': 'tanh'}"
feats10_snr10_N100000,10,10,100000,3,MLP_random,27.550753599964082,0.9069723299778376,1.0673487710162206,0.8512802370186141,"{'learning_rate_init': 0.001, 'hidden_layer_sizes': (64, 32), 'batch_size': 128, 'alpha': 0.0001, 'activation': 'tanh'}"
feats10_snr10_N100000,10,10,100000,4,MLP_random,32.867690599989146,0.907630536072261,1.065513944865208,0.8492433523478493,"{'learning_rate_init': 0.001, 'hidden_layer_sizes': (64, 32), 'batch_size': 128, 'alpha': 0.001, 'activation': 'tanh'}"
feats10_snr10_N100000,10,10,100000,5,MLP_random,31.980309100006707,0.9069634758199602,1.068912386441011,0.8529270788714968,"{'learning_rate_init': 0.001, 'hidden_layer_sizes': (32, 32), 'batch_size': 128, 'alpha': 0.001, 'activation': 'tanh'}"
feats10_snr10_N100000,10,10,100000,6,MLP_random,45.28352179995272,0.9068212071673188,1.070043508886328,0.8526561686351738,"{'learning_rate_init': 0.001, 'hidden_layer_sizes': (32, 32), 'batch_size': 128, 'alpha': 0.0001, 'activation': 'tanh'}"
feats10_snr10_N100000,10,10,100000,7,MLP_random,40.7869169000769,0.9071423647001537,1.0633205787723587,0.8472532786828431,"{'learning_rate_init': 0.001, 'hidden_layer_sizes': (32, 32), 'batch_size': 64, 'alpha': 0.0001, 'activation': 'tanh'}"
feats10_snr10_N100000,10,10,100000,8,MLP_random,34.74645730003249,0.906678674586622,1.0668530416753164,0.8510922263741229,"{'learning_rate_init': 0.001, 'hidden_layer_sizes': (32, 32), 'batch_size': 64, 'alpha': 0.0001, 'activation': 'tanh'}"
feats10_snr10_N100000,10,10,100000,9,MLP_random,29.73403340007644,0.9069462739893746,1.0680062740437772,0.8519793154472938,"{'learning_rate_init': 0.001, 'hidden_layer_sizes': (64, 32), 'batch_size': 128, 'alpha': 0.0001, 'activation': 'tanh'}"
