dataset,n_feats,snr,N,round,method,train_time,adj_r2,rmse,mae
feats10_snr10_N100000,10,10,100000,0,sklearn_fixed,4.173194000002695,0.9079831069798119,1.0623822192196342,0.8460628837107449
feats10_snr10_N100000,10,10,100000,1,sklearn_fixed,7.385146300017368,0.9073372060365491,1.068062495801484,0.851521373913804
feats10_snr10_N100000,10,10,100000,2,sklearn_fixed,9.992207600007532,0.9070045407095424,1.0650858004892605,0.8507557595042485
feats10_snr10_N100000,10,10,100000,3,sklearn_fixed,8.488414899999043,0.9075783738213387,1.0638663817661953,0.848108697561218
feats10_snr10_N100000,10,10,100000,4,sklearn_fixed,8.510750899993582,0.9079474955240068,1.0636842550557295,0.8478919215292684
feats10_snr10_N100000,10,10,100000,5,sklearn_fixed,7.864996099990094,0.9069619711463189,1.0689210301312386,0.8529341858997062
feats10_snr10_N100000,10,10,100000,6,sklearn_fixed,8.121443400013959,0.9068212071673188,1.070043508886328,0.8526561686351738
feats10_snr10_N100000,10,10,100000,7,sklearn_fixed,10.466683799983002,0.9071905490701683,1.0630446613404614,0.8471106288878524
feats10_snr10_N100000,10,10,100000,8,sklearn_fixed,8.254301300010411,0.9067462364512633,1.0664667868140274,0.8511082232134211
feats10_snr10_N100000,10,10,100000,9,sklearn_fixed,7.617563500010874,0.9070095732188034,1.06764295987152,0.8517498364694975
feats10_snr10_N10000,10,10,10000,0,sklearn_fixed,1.9857241999998223,0.8996356648239581,0.7687703583171652,0.608879079669037
feats10_snr10_N10000,10,10,10000,1,sklearn_fixed,1.402964000008069,0.90240004582601,0.7639948175109972,0.6081992964699074
feats10_snr10_N10000,10,10,10000,2,sklearn_fixed,1.7910606000223197,0.8984164743872094,0.7723998948127063,0.6186779205867504
feats10_snr10_N10000,10,10,10000,3,sklearn_fixed,2.0091327999834903,0.899150363789217,0.7673322037336248,0.6136034501297845
feats10_snr10_N10000,10,10,10000,4,sklearn_fixed,2.1809101999970153,0.8972149234666668,0.7731694799048947,0.6152667389592418
feats10_snr10_N10000,10,10,10000,5,sklearn_fixed,1.6948599999886937,0.9005105124097245,0.7718463328441956,0.6137957834789489
feats10_snr10_N10000,10,10,10000,6,sklearn_fixed,1.8074123999977019,0.9021820522348367,0.7691084231166132,0.6137704831416899
feats10_snr10_N10000,10,10,10000,7,sklearn_fixed,1.4505555999930948,0.8950218089894101,0.7817089756742284,0.6204656847303495
feats10_snr10_N10000,10,10,10000,8,sklearn_fixed,2.091036500001792,0.8993948691263463,0.7670596728112473,0.6132765158005906
feats10_snr10_N10000,10,10,10000,9,sklearn_fixed,0.7467761999869253,0.8962067326092782,0.7802947645032255,0.6221543277437612
feats10_snr10_N500000,10,10,500000,0,sklearn_fixed,32.963590600003954,0.9080872813743978,0.961161008957182,0.7669357311151948
feats10_snr10_N500000,10,10,500000,1,sklearn_fixed,36.29874790000031,0.9081667546275143,0.9609457122850023,0.7666401690753566
feats10_snr10_N500000,10,10,500000,2,sklearn_fixed,42.29781770001864,0.9084040907485381,0.9609716966001507,0.7665858438860019
feats10_snr10_N500000,10,10,500000,3,sklearn_fixed,22.724063600006048,0.9086071409400805,0.9595266630855407,0.7661570288261426
feats10_snr10_N500000,10,10,500000,4,sklearn_fixed,27.810265500011155,0.9080988281627428,0.9608491212009121,0.7667430341200077
feats10_snr10_N500000,10,10,500000,5,sklearn_fixed,38.63948959999834,0.9083046003795546,0.9611304143106433,0.7667174594724975
feats10_snr10_N500000,10,10,500000,6,sklearn_fixed,26.341904600005364,0.9081156826798745,0.9610352861751422,0.7671709443410085
feats10_snr10_N500000,10,10,500000,7,sklearn_fixed,34.829578100005165,0.9084960333685805,0.9608421164571538,0.7666733920543027
feats10_snr10_N500000,10,10,500000,8,sklearn_fixed,39.50731340001221,0.9084203434929945,0.9601479473668882,0.7664191085806272
feats10_snr10_N500000,10,10,500000,9,sklearn_fixed,36.31441739998991,0.9081516673669612,0.9619935116953703,0.7679037285669635
feats10_snr3_N100000,10,3,100000,0,sklearn_fixed,7.958054000017,0.7483211258826813,1.8072408436240837,1.4399266878683208
feats10_snr3_N100000,10,3,100000,1,sklearn_fixed,8.624376199994003,0.7446033476704637,1.802256761647097,1.4392435604363838
feats10_snr3_N100000,10,3,100000,2,sklearn_fixed,6.365423200011719,0.7466961857720795,1.7982494135054916,1.4358389973775192
feats10_snr3_N100000,10,3,100000,3,sklearn_fixed,8.079857600008836,0.7472309803350059,1.8054449612923407,1.4406841279295146
feats10_snr3_N100000,10,3,100000,4,sklearn_fixed,8.802823399979388,0.745620622946749,1.799377859054786,1.436734807219798
feats10_snr3_N100000,10,3,100000,5,sklearn_fixed,5.088923400006024,0.744125018565635,1.8051626741382183,1.440885066954778
feats10_snr3_N100000,10,3,100000,6,sklearn_fixed,6.387456700002076,0.7462169002738519,1.7989553245089085,1.4367814777299703
