dataset,round,method,train_time,adj_r2,rmse,mae
feats10_snr10_N100000,0,torch_optimized,2.8424931000045035,0.9066789066856638,1.0698845557744217,0.8525092005729675
feats10_snr10_N100000,1,torch_optimized,2.644972299982328,0.9064006761612792,1.073446322075852,0.8564909100532532
feats10_snr10_N100000,2,torch_optimized,2.629505799995968,0.905748113204366,1.0722567309512738,0.8557699918746948
feats10_snr10_N100000,3,torch_optimized,3.575981600006344,0.9063114897750612,1.0711332640812659,0.8538398146629333
feats10_snr10_N100000,4,torch_optimized,3.96245409999392,0.9063908990440734,1.0726397752712216,0.854949951171875
feats10_snr10_N100000,5,torch_optimized,4.147236100019654,0.9051396665080153,1.079338551730366,0.862160325050354
feats10_snr10_N100000,6,torch_optimized,2.2748295000055805,0.9053213778082776,1.078621017683889,0.8597398400306702
feats10_snr10_N100000,7,torch_optimized,4.247866199992131,0.9060642598662069,1.0694756124889515,0.8510625958442688
feats10_snr10_N100000,8,torch_optimized,1.7827755000034813,0.9046633897436467,1.078311019550639,0.8602906465530396
feats10_snr10_N100000,9,torch_optimized,3.2686083000153303,0.9063433250225481,1.071460915258952,0.8553436994552612
feats10_snr10_N10000,0,torch_optimized,0.21236010000575334,0.8988338558940042,0.7718350542983269,0.6145034432411194
feats10_snr10_N10000,1,torch_optimized,0.15942929999437183,0.9025230145951411,0.7635134559474851,0.6056963801383972
feats10_snr10_N10000,2,torch_optimized,0.19483049999689683,0.8973910406778465,0.7762886439485314,0.6213168501853943
feats10_snr10_N10000,3,torch_optimized,0.1960088999767322,0.9004450931198302,0.7623907401803475,0.6087462902069092
feats10_snr10_N10000,4,torch_optimized,0.30227069999091327,0.8984740180896599,0.7684193435019426,0.6100441217422485
feats10_snr10_N10000,5,torch_optimized,0.19172549998620525,0.9000054638953027,0.7738028925132967,0.6185123920440674
feats10_snr10_N10000,6,torch_optimized,0.18557939998572692,0.9023707180970368,0.7683663240398739,0.614061176776886
feats10_snr10_N10000,7,torch_optimized,0.2726322000089567,0.8979773523334894,0.7706263539224257,0.6171633005142212
feats10_snr10_N10000,8,torch_optimized,0.2051973000052385,0.8996593029137292,0.7660508042213208,0.6099433302879333
feats10_snr10_N10000,9,torch_optimized,0.323575799993705,0.8965939028895339,0.7788382115008923,0.6229729652404785
feats10_snr10_N500000,0,torch_optimized,36.60273510002298,0.9074461989371222,0.9645073184442192,0.7695855498313904
feats10_snr10_N500000,1,torch_optimized,37.34513430000516,0.907814033913489,0.9627895031305698,0.7681652903556824
feats10_snr10_N500000,2,torch_optimized,35.11912280000979,0.9078809130001012,0.9637123609681313,0.7686593532562256
feats10_snr10_N500000,3,torch_optimized,37.9616151000082,0.9081329315189927,0.9620128910009924,0.7681795954704285
feats10_snr10_N500000,4,torch_optimized,32.70843229998718,0.9071899483191671,0.9655886720410061,0.7706220149993896
feats10_snr10_N500000,5,torch_optimized,33.409898099984275,0.9074851819341314,0.9654153219671081,0.7700080275535583
feats10_snr10_N500000,6,torch_optimized,32.71514329998172,0.9077116886445826,0.9631456265725551,0.7689013481140137
feats10_snr10_N500000,7,torch_optimized,31.182047399983276,0.9079063055944834,0.9639334148623903,0.7689229249954224
feats10_snr10_N500000,8,torch_optimized,31.128984200011473,0.9075086074965544,0.9649154080487788,0.7699840664863586
feats10_snr10_N500000,9,torch_optimized,32.483714100002544,0.9077191395232158,0.9642559222256354,0.769734799861908
feats10_snr3_N100000,0,torch_optimized,0.9277105999935884,0.7469884167327729,1.81201948176052,1.4429268836975098
feats10_snr3_N100000,1,torch_optimized,1.617242600012105,0.7445188003898051,1.8025551621121823,1.438625454902649
feats10_snr3_N100000,2,torch_optimized,1.6984552000067197,0.7447856441496391,1.805018274949146,1.440948247909546
feats10_snr3_N100000,3,torch_optimized,1.551828800002113,0.7473935113145584,1.8048644536445564,1.440832495689392
feats10_snr3_N100000,4,torch_optimized,0.6973808000038844,0.7431436846247623,1.8081172043401217,1.4423784017562866
feats10_snr3_N100000,5,torch_optimized,1.0443196999840438,0.7424821195660318,1.8109486616578954,1.444726824760437
feats10_snr3_N100000,6,torch_optimized,1.9867658999864943,0.7448146774184146,1.8039183195362116,1.4400297403335571
feats10_snr3_N100000,7,torch_optimized,1.1486262000107672,0.7405328962479949,1.8138939331488242,1.4458612203598022
feats10_snr3_N100000,8,torch_optimized,1.7932808000186924,0.7457472593967621,1.8013831599384713,1.4359287023544312
feats10_snr3_N100000,9,torch_optimized,2.1084337000211235,0.7441572259028986,1.8094997567237001,1.4422346353530884
feats10_snr3_N10000,0,torch_optimized,0.21961730002658442,0.734569898968733,1.498459660880347,1.194259524345398
feats10_snr3_N10000,1,torch_optimized,0.1649150000012014,0.7246414812229085,1.5087253791677506,1.2007508277893066
feats10_snr3_N10000,2,torch_optimized,0.15273210001760162,0.7355029091230015,1.4968636625812248,1.2022020816802979
feats10_snr3_N10000,3,torch_optimized,0.1452802999992855,0.7340296346072229,1.486982765349283,1.1836365461349487
feats10_snr3_N10000,4,torch_optimized,0.13398400001460686,0.7326441545432927,1.5048188054201064,1.2010045051574707
feats10_snr3_N10000,5,torch_optimized,0.14608410000801086,0.7370189461064831,1.4922494925358938,1.1908622980117798
feats10_snr3_N10000,6,torch_optimized,0.17192540000542067,0.7343591922842971,1.4971680133389857,1.1993061304092407
feats10_snr3_N10000,7,torch_optimized,0.12485299998661503,0.7270404198265764,1.5224873245037334,1.2176640033721924
feats10_snr3_N10000,8,torch_optimized,0.22015159999136813,0.7290829846246802,1.501728571858772,1.1987357139587402
feats10_snr3_N10000,9,torch_optimized,0.1362985000014305,0.7257755227546745,1.5163402639317165,1.212072730064392
feats10_snr3_N500000,0,torch_optimized,32.32276149999234,0.7481322868921069,1.0702478431050826,0.8538150191307068
feats10_snr3_N500000,1,torch_optimized,34.515823299996555,0.7484558338458775,1.0687503970853727,0.8528309464454651
feats10_snr3_N500000,2,torch_optimized,30.790738899988355,0.7472861055074846,1.0696306493141212,0.8531851768493652
feats10_snr3_N500000,3,torch_optimized,35.50790749999578,0.748536422549175,1.0685826823116975,0.8522353172302246
feats10_snr3_N500000,4,torch_optimized,27.865380899980664,0.747236870101476,1.0720967922460523,0.8547088503837585
feats10_snr3_N500000,5,torch_optimized,36.18975289998343,0.7473154917728142,1.071119241112034,0.8543499708175659
feats10_snr3_N500000,6,torch_optimized,37.246745099982945,0.7488529358735159,1.0685615418008092,0.8519262671470642
feats10_snr3_N500000,7,torch_optimized,38.41026810000767,0.7481334790326881,1.070732925150641,0.8543258905410767
feats10_snr3_N500000,8,torch_optimized,40.73412449998432,0.7464747942348661,1.0720565397490192,0.8550960421562195
feats10_snr3_N500000,9,torch_optimized,29.630495899997186,0.747815892781824,1.069854192692549,0.8528567552566528
feats20_snr10_N100000,0,torch_optimized,3.6477802000008523,0.9009138364024698,1.429724437465763,1.1394851207733154
feats20_snr10_N100000,1,torch_optimized,3.354263799992623,0.9003814731843689,1.4265358795991399,1.1363362073898315
feats20_snr10_N100000,2,torch_optimized,2.7965991999953985,0.9009495538719638,1.4220663088697763,1.134293794631958
feats20_snr10_N100000,3,torch_optimized,4.35987070002011,0.9014692162202781,1.4253091945162404,1.1361440420150757
feats20_snr10_N100000,4,torch_optimized,1.1585652999929152,0.8938397500737713,1.4702376278695783,1.1641780138015747
feats20_snr10_N100000,5,torch_optimized,2.9450522999977693,0.9008436536619115,1.4251297807990546,1.1359723806381226
feats20_snr10_N100000,6,torch_optimized,4.000435499998275,0.9016328964435854,1.418944808424291,1.132643461227417
feats20_snr10_N100000,7,torch_optimized,4.540457399998559,0.9012715477538797,1.4193945407908113,1.1314176321029663
feats20_snr10_N100000,8,torch_optimized,2.5045922999852337,0.9011195547159161,1.4265851824357918,1.1391918659210205
feats20_snr10_N100000,9,torch_optimized,3.6363022000005003,0.9008923105151788,1.4239622453227951,1.135195255279541
feats20_snr10_N10000,0,torch_optimized,0.25266349999583326,0.8904317335614145,1.6792222909099375,1.3397043943405151
feats20_snr10_N10000,1,torch_optimized,0.2171659000159707,0.892087259884459,1.6712292288585775,1.328165054321289
feats20_snr10_N10000,2,torch_optimized,0.248586300003808,0.8892697412748848,1.6951484425003038,1.3448238372802734
feats20_snr10_N10000,3,torch_optimized,0.24008519999915734,0.8926034748231007,1.681151280110577,1.3381232023239136
feats20_snr10_N10000,4,torch_optimized,0.27115869999397546,0.8889652546521386,1.6793380018843003,1.329790472984314
feats20_snr10_N10000,5,torch_optimized,0.24460030000773259,0.8899739264340544,1.7066417398097684,1.3545506000518799
feats20_snr10_N10000,6,torch_optimized,0.3976952000230085,0.8915827743833289,1.7030880425319281,1.3500336408615112
feats20_snr10_N10000,7,torch_optimized,0.22191239998210222,0.889727548402245,1.6877896802009709,1.3364338874816895
feats20_snr10_N10000,8,torch_optimized,0.2102757999964524,0.8926214878878505,1.6845722231646774,1.3402611017227173
feats20_snr10_N10000,9,torch_optimized,0.19572610000614077,0.8891287486484717,1.683669227979292,1.3475935459136963
feats20_snr10_N500000,0,torch_optimized,34.75449560000561,0.9004461992154105,1.2831742792937189,1.022506594657898
feats20_snr10_N500000,1,torch_optimized,36.22532739999588,0.9038040570899575,1.261437163213388,1.0055574178695679
feats20_snr10_N500000,2,torch_optimized,35.7228000999894,0.9044438449255633,1.2565250797766785,1.0019153356552124
feats20_snr10_N500000,3,torch_optimized,38.11075190000702,0.9051419903770322,1.25432786359734,1.0007059574127197
feats20_snr10_N500000,4,torch_optimized,35.82981210001162,0.9037852205152764,1.258083953945875,1.0024908781051636
feats20_snr10_N500000,5,torch_optimized,38.95991089998279,0.9046273227004626,1.255925961356254,1.0014967918395996
feats20_snr10_N500000,6,torch_optimized,36.13992950000102,0.9040221679341279,1.2598782747750121,1.0041486024856567
feats20_snr10_N500000,7,torch_optimized,38.20799250001437,0.9046695261652543,1.2531320909408896,0.9995324611663818
feats20_snr10_N500000,8,torch_optimized,35.95257570000831,0.9036271959599619,1.2594305494755682,1.0037362575531006
feats20_snr10_N500000,9,torch_optimized,36.65025780000724,0.9047401633203082,1.25534654650434,1.0008022785186768
feats20_snr3_N100000,0,torch_optimized,2.3492591000103857,0.7395094539269138,2.1037059191359813,1.6759934425354004
feats20_snr3_N100000,1,torch_optimized,2.0883394999837037,0.7423261252232213,2.093293894722238,1.6707721948623657
feats20_snr3_N100000,2,torch_optimized,2.2386295000032987,0.7382667960567051,2.1039766534300495,1.6777113676071167
feats20_snr3_N100000,3,torch_optimized,0.9034737999900244,0.7359149885202896,2.1197990273637624,1.690416932106018
feats20_snr3_N100000,4,torch_optimized,1.8663008000003174,0.73795458124824,2.1061434257553056,1.681799054145813
feats20_snr3_N100000,5,torch_optimized,1.8361397000262514,0.7431997423276564,2.089568902596885,1.668948769569397
feats20_snr3_N100000,6,torch_optimized,1.7765356000163592,0.7411678416757739,2.095879226495569,1.6732755899429321
feats20_snr3_N100000,7,torch_optimized,1.9286158999893814,0.7422280363462302,2.0967023161549614,1.6734025478363037
feats20_snr3_N100000,8,torch_optimized,1.3065637999970932,0.7386861036451555,2.1057877166279657,1.6785004138946533
feats20_snr3_N100000,9,torch_optimized,2.1171839000016917,0.7405512830204016,2.097786045143482,1.6753149032592773
feats20_snr3_N10000,0,torch_optimized,0.11562080000294372,0.7222163992537196,2.7877066599785247,2.23075008392334
feats20_snr3_N10000,1,torch_optimized,0.12203950001276098,0.7242013073321877,2.7895176620293483,2.2175397872924805
feats20_snr3_N10000,2,torch_optimized,0.13778640000964515,0.7219690038727382,2.7881878675544502,2.221461296081543
feats20_snr3_N10000,3,torch_optimized,0.14459939999505877,0.7089689570896404,2.8490042302109284,2.2802717685699463
feats20_snr3_N10000,4,torch_optimized,0.12298149999696761,0.7184513695006822,2.82512965622162,2.252473831176758
feats20_snr3_N10000,5,torch_optimized,0.19291820001672022,0.7109965938333288,2.8431639014949805,2.2671968936920166
feats20_snr3_N10000,6,torch_optimized,0.13367579999612644,0.7197876875600223,2.784476048683511,2.2136008739471436
feats20_snr3_N10000,7,torch_optimized,0.1377202000003308,0.7214276544251434,2.840331485637411,2.2597012519836426
feats20_snr3_N10000,8,torch_optimized,0.16041250000125729,0.7225986233220136,2.7998036656346232,2.2340445518493652
feats20_snr3_N10000,9,torch_optimized,0.1687361000222154,0.7282801593827253,2.771299069683814,2.221912145614624
feats20_snr3_N500000,0,torch_optimized,28.86311609999393,0.7443203229411732,2.3404355837036115,1.8665452003479004
feats20_snr3_N500000,1,torch_optimized,36.71249520001584,0.7458333290758372,2.3349627754462654,1.8637547492980957
feats20_snr3_N500000,2,torch_optimized,35.32175830000779,0.7438463088846431,2.344432782218978,1.8696365356445312
feats20_snr3_N500000,3,torch_optimized,21.97828040001332,0.7433212691701163,2.3471248488634653,1.8719947338104248
feats20_snr3_N500000,4,torch_optimized,35.51030500000343,0.745836249937101,2.337279377689749,1.8639534711837769
feats20_snr3_N500000,5,torch_optimized,36.82146790000843,0.7451675515359246,2.3380951883535976,1.8649779558181763
feats20_snr3_N500000,6,torch_optimized,35.49296270002378,0.7450469616923179,2.340321181662338,1.8670463562011719
feats20_snr3_N500000,7,torch_optimized,36.97011300001759,0.7453500755602072,2.3390033722095227,1.8674274682998657
feats20_snr3_N500000,8,torch_optimized,30.69880870002089,0.7450332515272019,2.3401491096460494,1.8679825067520142
feats20_snr3_N500000,9,torch_optimized,31.60729850002099,0.7461300647364768,2.336023743737407,1.8626538515090942
feats5_snr10_N100000,0,torch_optimized,3.2329891999834217,0.9086754786857115,0.9494556084390637,0.7581778168678284
feats5_snr10_N100000,1,torch_optimized,3.8182291999983136,0.9083547140150665,0.9557782748682584,0.7613718509674072
feats5_snr10_N100000,2,torch_optimized,2.8535666999814566,0.9088034030460914,0.9505198787876021,0.75765061378479
feats5_snr10_N100000,3,torch_optimized,2.0041366000077687,0.9082819294651951,0.9535067997406426,0.7623794674873352
feats5_snr10_N100000,4,torch_optimized,1.8584371999895666,0.9080782400246462,0.9516638515473086,0.7594984173774719
