dataset,round,method,train_time,adj_r2,rmse,mae
feats10_snr10_N100000,0,torch_gpu_optimized,1.0348489999887533,0.9067392982693795,1.0695383655431216,0.8527117371559143
feats10_snr10_N100000,1,torch_gpu_optimized,0.45558410001103766,0.9064218996596037,1.0733245457018996,0.8555318713188171
feats10_snr10_N100000,2,torch_gpu_optimized,0.5051237000152469,0.9057249819758549,1.0723881330147265,0.8562617897987366
feats10_snr10_N100000,3,torch_gpu_optimized,0.4677977999963332,0.9056929082620947,1.074663326860102,0.8568747639656067
feats10_snr10_N100000,4,torch_gpu_optimized,0.5212738999980502,0.9063985895813876,1.0725960422186072,0.8545972108840942
feats10_snr10_N100000,5,torch_gpu_optimized,0.3041427999851294,0.9057155029414908,1.0760574972361343,0.8585081100463867
feats10_snr10_N100000,6,torch_gpu_optimized,0.47434899999643676,0.9063336075219106,1.0728396909686462,0.8544984459877014
feats10_snr10_N100000,7,torch_gpu_optimized,0.476621800014982,0.9061944624514342,1.0687339446886321,0.8515697121620178
feats10_snr10_N100000,8,torch_gpu_optimized,0.34925430000294,0.9054842502729484,1.0736585786422639,0.8564632534980774
feats10_snr10_N100000,9,torch_gpu_optimized,0.39638670001295395,0.9061630445199256,1.072491453532421,0.855503261089325
feats10_snr10_N10000,0,torch_gpu_optimized,0.16888780001318082,0.8988586414025193,0.7717404483788585,0.6145285367965698
feats10_snr10_N10000,1,torch_gpu_optimized,0.1906075999722816,0.902031007320089,0.7654377844660369,0.6098144054412842
feats10_snr10_N10000,2,torch_gpu_optimized,0.17643510000198148,0.8981384282767785,0.7734562650003267,0.6195061802864075
feats10_snr10_N10000,3,torch_gpu_optimized,0.16761609999230132,0.901338207564007,0.7589633500921781,0.6052544713020325
feats10_snr10_N10000,4,torch_gpu_optimized,0.24211569997714832,0.8960421714975781,0.7775678072121908,0.6178027391433716
feats10_snr10_N10000,5,torch_gpu_optimized,0.21792130000540055,0.9017955748512549,0.7668453922167867,0.6118284463882446
feats10_snr10_N10000,6,torch_gpu_optimized,0.14456459999200888,0.9034474842006923,0.7641174499473202,0.6108089089393616
feats10_snr10_N10000,7,torch_gpu_optimized,0.12663039998733439,0.8976749094054894,0.7717677501346228,0.6178721785545349
feats10_snr10_N10000,8,torch_gpu_optimized,0.1695268000185024,0.9004576351843799,0.762997497791972,0.6077169179916382
feats10_snr10_N10000,9,torch_gpu_optimized,0.15679909999016672,0.8965488111812716,0.7790078604794965,0.6221206188201904
feats10_snr10_N500000,0,torch_gpu_optimized,3.8344903999823146,0.906222108988221,0.9708644494949129,0.7745309472084045
feats10_snr10_N500000,1,torch_gpu_optimized,4.795796799997333,0.9075258935349836,0.9642929481810243,0.7692921161651611
feats10_snr10_N500000,2,torch_gpu_optimized,7.920759700005874,0.9084059913191443,0.9609618145107296,0.766525149345398
feats10_snr10_N500000,3,torch_gpu_optimized,4.146095800009789,0.9073643584862144,0.9660285439805527,0.7716655135154724
feats10_snr10_N500000,4,torch_gpu_optimized,5.156476200005272,0.9065336749291494,0.9689965088292268,0.7736141085624695
feats10_snr10_N500000,5,torch_gpu_optimized,5.998490199999651,0.908062952866869,0.9623959026769492,0.7677602767944336
feats10_snr10_N500000,6,torch_gpu_optimized,5.138248899980681,0.906922014723515,0.9672574882266762,0.772140383720398
feats10_snr10_N500000,7,torch_gpu_optimized,2.9223549000162166,0.9073902875438582,0.9666300928387915,0.7711786031723022
feats10_snr10_N500000,8,torch_gpu_optimized,3.881407600012608,0.9080291556813885,0.9621963938654815,0.7680984735488892
feats10_snr10_N500000,9,torch_gpu_optimized,2.6388688999868464,0.9075283970302044,0.9652519134941193,0.7703382968902588
feats10_snr3_N100000,0,torch_gpu_optimized,0.1576372999988962,0.7473200040858106,1.8108316174970216,1.4420368671417236
feats10_snr3_N100000,1,torch_gpu_optimized,0.20261919999029487,0.7443437661451955,1.8031722804701802,1.440158724784851
feats10_snr3_N100000,2,torch_gpu_optimized,0.28852980001829565,0.7430761986694157,1.811053191892534,1.4455549716949463
feats10_snr3_N100000,3,torch_gpu_optimized,0.37941230001160875,0.7473342524456409,1.8050761939581006,1.440994381904602
feats10_snr3_N100000,4,torch_gpu_optimized,0.2616850000049453,0.7450939810410291,1.8012396835042304,1.438139796257019
feats10_snr3_N100000,5,torch_gpu_optimized,0.13647779999882914,0.7435189709223842,1.8072991567964012,1.4418421983718872
feats10_snr3_N100000,6,torch_gpu_optimized,0.2743384000204969,0.7457669328643102,1.8005493411925622,1.4376140832901
feats10_snr3_N100000,7,torch_gpu_optimized,0.3533058000029996,0.7419167756485818,1.8090501378345878,1.441635012626648
feats10_snr3_N100000,8,torch_gpu_optimized,0.1988744999980554,0.7461784064189068,1.7998552900001172,1.434174656867981
feats10_snr3_N100000,9,torch_gpu_optimized,0.24270780000369996,0.7441680165017659,1.8094614802168827,1.4435040950775146
feats10_snr3_N10000,0,torch_gpu_optimized,0.07664620000286959,0.733370877597776,1.501840416061221,1.1973578929901123
feats10_snr3_N10000,1,torch_gpu_optimized,0.12560379999922588,0.7187681518424893,1.5247308962667063,1.2133164405822754
feats10_snr3_N10000,2,torch_gpu_optimized,0.10357310000108555,0.7345438592537632,1.499574918915012,1.204722285270691
feats10_snr3_N10000,3,torch_gpu_optimized,0.09307510001235642,0.7328937416278329,1.4901546991929582,1.1892497539520264
feats10_snr3_N10000,4,torch_gpu_optimized,0.14915379998274148,0.7349400093211849,1.4983437454122113,1.1895015239715576
feats10_snr3_N10000,5,torch_gpu_optimized,0.17764330000500195,0.7282922970409933,1.5168064664330645,1.2120448350906372
feats10_snr3_N10000,6,torch_gpu_optimized,0.14850989999831654,0.7344262624675799,1.4969789759574508,1.1982581615447998
feats10_snr3_N10000,7,torch_gpu_optimized,0.15720329998293892,0.7280749609795809,1.5195993442526956,1.2127732038497925
feats10_snr3_N10000,8,torch_gpu_optimized,0.1559578999876976,0.728049458781663,1.5045902430712783,1.1976220607757568
feats10_snr3_N10000,9,torch_gpu_optimized,0.17699800000991672,0.7255712662748641,1.5169049393725282,1.2097618579864502
feats10_snr3_N500000,0,torch_gpu_optimized,2.980488900007913,0.7470675265318993,1.0725076815634629,0.855583667755127
feats10_snr3_N500000,1,torch_gpu_optimized,2.899594899994554,0.7478234032674864,1.0700931742021342,0.8537418246269226
feats10_snr3_N500000,2,torch_gpu_optimized,3.345254100015154,0.7477485368389793,1.0686515673544197,0.8521802425384521
feats10_snr3_N500000,3,torch_gpu_optimized,3.6660095999832265,0.7484194735581473,1.0688311495841667,0.8525583744049072
feats10_snr3_N500000,4,torch_gpu_optimized,3.2661338000034448,0.7485208055075596,1.069370328445977,0.8526102304458618
feats10_snr3_N500000,5,torch_gpu_optimized,3.7549079000018537,0.7478207209511785,1.070047888798251,0.8536427617073059
feats10_snr3_N500000,6,torch_gpu_optimized,2.2626129999989644,0.747523520304255,1.071385924307967,0.854238748550415
