dataset,n_feats,snr,N,round,method,train_time,adj_r2,rmse,mae,best_params
feats10_snr10_N100000,10,10,100000,0,torch_mlp_cuda,15.693438099930063,0.9062642138363775,1.07225901005829,0.8543648719787598,
feats10_snr10_N100000,10,10,100000,1,torch_mlp_cuda,14.799636099953204,0.906087569944423,1.0752403811122317,0.857226550579071,
feats10_snr10_N100000,10,10,100000,2,torch_mlp_cuda,13.821301199961454,0.9059374554253743,1.071178837463441,0.8552698493003845,
feats10_snr10_N100000,10,10,100000,3,torch_mlp_cuda,13.870896700071171,0.9058479113397463,1.0737800395880264,0.8555415868759155,
feats10_snr10_N100000,10,10,100000,4,torch_mlp_cuda,13.841899999999441,0.9064229131412653,1.07245649574095,0.8547254800796509,
feats10_snr10_N100000,10,10,100000,5,torch_mlp_cuda,14.024459599982947,0.9053104679762737,1.0783665151566268,0.8604581356048584,
feats10_snr10_N100000,10,10,100000,6,torch_mlp_cuda,13.845323999994434,0.9059667867769914,1.0749385017724378,0.8562007546424866,
feats10_snr10_N100000,10,10,100000,7,torch_mlp_cuda,13.765448200050741,0.9063859508689023,1.0676425014142659,0.851158618927002,
feats10_snr10_N100000,10,10,100000,8,torch_mlp_cuda,14.03416899999138,0.9055743309076912,1.0731468262449582,0.8558858036994934,
feats10_snr10_N100000,10,10,100000,9,torch_mlp_cuda,14.3019048999995,0.9057971776400996,1.0745802947158323,0.8577025532722473,
feats10_snr10_N10000,10,10,10000,0,torch_mlp_cuda,1.8925541000207886,0.8987749679147373,0.7720597451468986,0.6159337759017944,
feats10_snr10_N10000,10,10,10000,1,torch_mlp_cuda,1.766730900038965,0.902460483444743,0.7637581154599729,0.607559859752655,
feats10_snr10_N10000,10,10,10000,2,torch_mlp_cuda,1.9183691000798717,0.8989648906064908,0.7703120728775914,0.6175259947776794,
feats10_snr10_N10000,10,10,10000,3,torch_mlp_cuda,1.8443929000059143,0.8998263512687087,0.7647561573530157,0.610585629940033,
feats10_snr10_N10000,10,10,10000,4,torch_mlp_cuda,1.8457892999285832,0.8974994399500266,0.7720987312303506,0.6135342121124268,
feats10_snr10_N10000,10,10,10000,5,torch_mlp_cuda,1.9643472000025213,0.9010118152651287,0.7698994254405778,0.6135741472244263,
feats10_snr10_N10000,10,10,10000,6,torch_mlp_cuda,1.9009128999896348,0.9027291822466924,0.7669544743998837,0.6128100752830505,
feats10_snr10_N10000,10,10,10000,7,torch_mlp_cuda,1.8835075000533834,0.8973982672959918,0.7728102095740066,0.6181501150131226,
feats10_snr10_N10000,10,10,10000,8,torch_mlp_cuda,2.0583463000366464,0.9007378607408918,0.7619226036189549,0.6069555878639221,
feats10_snr10_N10000,10,10,10000,9,torch_mlp_cuda,2.032264299923554,0.8961604849731643,0.7804685499097475,0.6221018433570862,
feats10_snr10_N500000,10,10,500000,0,torch_mlp_cuda,87.88793239998631,0.9059387371720408,0.972330184270576,0.7756866216659546,
feats10_snr10_N500000,10,10,500000,1,torch_mlp_cuda,89.07993410003837,0.9069408505446999,0.9673384873671124,0.7717369794845581,
feats10_snr10_N500000,10,10,500000,2,torch_mlp_cuda,85.57556689996272,0.9077833959005491,0.9642220783933448,0.7690686583518982,
feats10_snr10_N500000,10,10,500000,3,torch_mlp_cuda,84.24294780008495,0.9081029491833724,0.9621698494481961,0.7682510018348694,
feats10_snr10_N500000,10,10,500000,4,torch_mlp_cuda,89.73103769996669,0.9077361871335288,0.9627431636657726,0.7683183550834656,
feats10_snr10_N500000,10,10,500000,5,torch_mlp_cuda,86.62833430001047,0.9077631891176957,0.9639637443622004,0.7690463662147522,
feats10_snr10_N500000,10,10,500000,6,torch_mlp_cuda,90.82267550006509,0.9078366249775051,0.9624934431571066,0.7683994770050049,
feats10_snr10_N500000,10,10,500000,7,torch_mlp_cuda,92.21587670000736,0.9074688496081673,0.9662201056846426,0.7710195183753967,
feats10_snr10_N500000,10,10,500000,8,torch_mlp_cuda,90.9747597000096,0.9078731640863226,0.9630119448482507,0.7686496376991272,
feats10_snr10_N500000,10,10,500000,9,torch_mlp_cuda,89.9436859000707,0.9079550045372303,0.9630228071809755,0.7686456441879272,
