dataset,n_feats,snr,N,round,method,train_time,adj_r2,rmse,mae,best_params
feats10_snr10_N100000,10,10,100000,0,xgboost,0.322171700070612,0.9030243991593428,1.0906320360195683,0.8686026568887439,
feats10_snr10_N100000,10,10,100000,1,xgboost,0.3908874000189826,0.9027094929941184,1.0944078595090092,0.872297228941302,
feats10_snr10_N100000,10,10,100000,2,xgboost,0.34871189994737506,0.9016393724860206,1.095378893348852,0.8748714695900128,
feats10_snr10_N100000,10,10,100000,3,xgboost,0.3247791000176221,0.9019627100019241,1.0957107723066466,0.8735252384950144,
feats10_snr10_N100000,10,10,100000,4,xgboost,0.3233014000579715,0.9028999802050515,1.0924575879637022,0.8707226132333584,
feats10_snr10_N100000,10,10,100000,5,xgboost,0.3315524000208825,0.902005427066463,1.0970246430996824,0.8754192391804952,
feats10_snr10_N100000,10,10,100000,6,xgboost,0.3253084000898525,0.9021108024609493,1.096756662098023,0.8728660422404299,
feats10_snr10_N100000,10,10,100000,7,xgboost,0.3318231999874115,0.901782536383919,1.0935780042174348,0.8713817612947935,
feats10_snr10_N100000,10,10,100000,8,xgboost,0.3337945000967011,0.902116489777122,1.0926194273863556,0.8712653476224949,
feats10_snr10_N100000,10,10,100000,9,xgboost,0.33232519996818155,0.9020179445730421,1.0959233822844043,0.8742249569660359,
feats10_snr10_N10000,10,10,10000,0,xgboost,0.15057170006912202,0.8768400667499405,0.8516117523691439,0.6715732750909494,
feats10_snr10_N10000,10,10,10000,1,xgboost,0.15311229997314513,0.8783247466345957,0.8530347735602088,0.6724405648993891,
feats10_snr10_N10000,10,10,10000,2,xgboost,0.16203569993376732,0.8727670001479367,0.8644312300483973,0.6829651909562469,
feats10_snr10_N10000,10,10,10000,3,xgboost,0.16138239996507764,0.8744208508005358,0.8562587557928222,0.6758547862076457,
feats10_snr10_N10000,10,10,10000,4,xgboost,0.1607552000787109,0.8796783071612035,0.8365302251167483,0.6608135456846495,
feats10_snr10_N10000,10,10,10000,5,xgboost,0.1539560001110658,0.8759604782206291,0.861831353391367,0.6778352688251714,
feats10_snr10_N10000,10,10,10000,6,xgboost,0.15391739993356168,0.8787332386832909,0.8563458229139554,0.6772588383355813,
feats10_snr10_N10000,10,10,10000,7,xgboost,0.15922849997878075,0.8755649105511253,0.8510733439595478,0.6741680683585745,
feats10_snr10_N10000,10,10,10000,8,xgboost,0.16053710004780442,0.8757339086516897,0.8525019966668788,0.6736668919443831,
feats10_snr10_N10000,10,10,10000,9,xgboost,0.17356000002473593,0.8720668969750276,0.8662945218106485,0.6874085227657478,
feats10_snr10_N500000,10,10,500000,0,xgboost,1.0748552000150084,0.9037820056742373,0.983414230605411,0.7837746741807395,
feats10_snr10_N500000,10,10,500000,1,xgboost,1.0280360999749973,0.9042447326873218,0.981251251286967,0.7824635621968538,
feats10_snr10_N500000,10,10,500000,2,xgboost,0.9779669999843463,0.9044280903568377,0.9816070965330347,0.7822602197115668,
feats10_snr10_N500000,10,10,500000,3,xgboost,0.9819256999762729,0.904659062839464,0.9800328287226094,0.7819150179278328,
feats10_snr10_N500000,10,10,500000,4,xgboost,0.9853405000176281,0.9040717839671835,0.9816752839279526,0.7826875890162219,
feats10_snr10_N500000,10,10,500000,5,xgboost,1.0435348999453709,0.9040190304716549,0.983334129539317,0.783595377080645,
feats10_snr10_N500000,10,10,500000,6,xgboost,1.0346494000405073,0.9042503077667777,0.9810413903482599,0.7825476814232704,
feats10_snr10_N500000,10,10,500000,7,xgboost,0.9907891999464482,0.9043950255566313,0.9821375498229309,0.7831992393478561,
feats10_snr10_N500000,10,10,500000,8,xgboost,0.9783972000004724,0.9039757548092049,0.9831710990276922,0.7839828405403624,
feats10_snr10_N500000,10,10,500000,9,xgboost,0.9786328999325633,0.904212476851705,0.9824059321990212,0.7831250379949075,
feats10_snr3_N100000,10,3,100000,0,xgboost,0.34146690007764846,0.7427770603535424,1.8270376644617714,1.454667843174421,
feats10_snr3_N100000,10,3,100000,1,xgboost,0.33499989996198565,0.7397106499061992,1.8194380081919506,1.4524839485542622,
feats10_snr3_N100000,10,3,100000,2,xgboost,0.3318894999101758,0.7411112058499982,1.8179657164484107,1.451886373185818,
feats10_snr3_N100000,10,3,100000,3,xgboost,0.32980579999275506,0.7425461893324679,1.8220991003940603,1.454262044055473,
feats10_snr3_N100000,10,3,100000,4,xgboost,0.3361767999595031,0.7402609594868039,1.8182351049583514,1.4512094086433318,
feats10_snr3_N100000,10,3,100000,5,xgboost,0.3349070999538526,0.7397809171361136,1.8204216998984872,1.4533569054019657,
feats10_snr3_N100000,10,3,100000,6,xgboost,0.3363823000108823,0.7415788521125597,1.815319425423946,1.4489813590697775,
feats10_snr3_N100000,10,3,100000,7,xgboost,0.33104540000203997,0.7378193596457698,1.8233541696165703,1.4531287830057582,
feats10_snr3_N100000,10,3,100000,8,xgboost,0.3359387000091374,0.7409874586298821,1.8181666326169967,1.4482454694380866,
feats10_snr3_N100000,10,3,100000,9,xgboost,0.3329593000235036,0.7398694438788092,1.824599860836139,1.455363779915127,
feats10_snr3_N10000,10,3,10000,0,xgboost,0.15463390003424138,0.712105084622203,1.5605832942507847,1.2463503614069185,
feats10_snr3_N10000,10,3,10000,1,xgboost,0.15777589997742325,0.7022623696500885,1.5688368941880242,1.2511707021770775,
feats10_snr3_N10000,10,3,10000,2,xgboost,0.15520329994615167,0.7054889584098183,1.5795107615435013,1.2666472178407826,
feats10_snr3_N10000,10,3,10000,3,xgboost,0.15625860006548464,0.7069752068677913,1.5607792672485756,1.2452297840229534,
feats10_snr3_N10000,10,3,10000,4,xgboost,0.1568840000545606,0.7139146685683527,1.5566363527516864,1.2411824346713975,
feats10_snr3_N10000,10,3,10000,5,xgboost,0.16342290001921356,0.7120336435907095,1.5615290234926642,1.2478087314166966,
feats10_snr3_N10000,10,3,10000,6,xgboost,0.18497770000249147,0.708547356854744,1.5682204840519045,1.2558043014901568,
feats10_snr3_N10000,10,3,10000,7,xgboost,0.2296998999081552,0.7020744387194164,1.5905904990461794,1.27313952788565,
feats10_snr3_N10000,10,3,10000,8,xgboost,0.1861223999876529,0.7037100036097936,1.5704777401448373,1.2522433050099262,
feats10_snr3_N10000,10,3,10000,9,xgboost,0.18666349991690367,0.7025762841110044,1.5791790485789594,1.2672378335382195,
feats10_snr3_N500000,10,3,500000,0,xgboost,1.0997276999987662,0.7435477926131216,1.079944262062155,0.8611975529304068,
feats10_snr3_N500000,10,3,500000,1,xgboost,1.0022794000105932,0.7438244613296198,1.0785442742164184,0.8602312506402007,
feats10_snr3_N500000,10,3,500000,2,xgboost,1.0221078000031412,0.7435555432681852,1.0774966405333193,0.8591532818398248,
feats10_snr3_N500000,10,3,500000,3,xgboost,1.0399043000070378,0.7440936222265281,1.0779811645681865,0.8594020175352753,
feats10_snr3_N500000,10,3,500000,4,xgboost,1.032264299923554,0.7437661732710479,1.079432126518079,0.8603980849738545,
feats10_snr3_N500000,10,3,500000,5,xgboost,0.9940145000582561,0.7432501984007929,1.0797011916696289,0.8610472162190128,
feats10_snr3_N500000,10,3,500000,6,xgboost,0.9871392999775708,0.7443777822243351,1.0780396473530902,0.858767831462774,
feats10_snr3_N500000,10,3,500000,7,xgboost,0.997355500003323,0.7441232345979845,1.0792235405222983,0.8610347886439155,
